Code,Group,Family,Species,P50,KS,AL/ AS,D,WD,Height,?,MAT,MAP,VPD,MI,TS,PS,MTCM,PDM,Latitude,Longitude,References,Location,Country
510 ,Gym,Pinaceae,Abies alba,-3.71 ,,,20.43 ,0.46 ,30.00 ,3.283333341,9.55 ,707.00 ,0.562120773,0.9201,581.9455584,27.5665858,-3.023999929,37,45°43' N,3°3' E,"Cochard, 2006, Comptes Rendus Physique",Clermont-Ferrand,France
622 ,Gym,Pinaceae,Abies balsamea,,0.22 ,0.21 ,20.00 ,,2.00 ,2.700000028,7.41 ,1078.00 ,0.522142703,1.0586,1001.756858,9.327823257,-13.84799957,70,42°53' N,72°19' W,"Ewers & Zimmermann, 1984a, Physiologia Plantarum","Petersham, Massachusetts (MA)",USA
965 ,Gym,Pinaceae,Abies balsamea,-2.00 ,3.21 ,,28.98 ,0.45 ,1.50 ,3.24999998,2.61 ,486.00 ,0.38674552,0.6551,1095.909246,68.91351799,-20.4279995,15,53°25' N,113°45' W,"Hacke & Jansen, 2009, New Phytologist",25 km southwest of Edmonton,Canada
2055 ,Gym,Pinaceae,Abies concolor,-4.83 ,,,,,,3.424999972,6.06 ,533.00 ,1.047863447,0.6447,818.5884965,19.86002082,-11.52400017,29,40°48' N,111°46' W,"Sperry & Ikeda, 1997, Tree Physiology",Utah,USA
2540 ,Gym,Pinaceae,Abies fabri,,,0.63 ,,,,2.091666649,3.70 ,847.00 ,15.35548757,0.9333,618.9011041,93.37889157,-9.944000244,5,29°25'N,101°55'E,"Xu, 2020, New Phytologist",Sichuan province,China
2560 ,Gym,Pinaceae,Abies fabri,,,0.48 ,,,,2.299999972,0.78 ,828.00 ,15.35548757,0.9958,691.690106,92.74818783,-13.50800037,4,29°22'N,101°55'E,"Xu, 2020, New Phytologist",Sichuan province,China
2580 ,Gym,Pinaceae,Abies fabri,,,0.70 ,,,,2.458333294,0.75 ,846.00 ,38.61108759,1.0824,647.250795,90.57201924,-13,7,29°34'N,101°59'E,"Xu, 2020, New Phytologist",Sichuan province,China
2594 ,Gym,Pinaceae,Abies fabri,,,0.52 ,,,,2.324999978,0.75 ,846.00 ,38.61108759,1.0448,647.250795,90.57201924,-13,7,29°34'N,102°00'E,"Xu, 2020, New Phytologist",Sichuan province,China
2639 ,Gym,Pinaceae,Abies fabri,,,0.61 ,,,,2.074999998,3.00 ,858.00 ,6.066549556,0.9714,635.2643433,90.25313014,-10.72399998,8,29°35'N,102°02'E,"Xu, 2020, New Phytologist",Sichuan province,China
2519 ,Gym,Pinaceae,Abies forrestii,,,0.31 ,,,,2.433333337,5.86 ,847.00 ,15.35548757,1.0344,601.2807223,94.0150966,-7.832000256,5,29°27'N,101°53'E,"Xu, 2020, New Phytologist",Sichuan province,China
