Timestamp	StudentAge	Gender	Nationality	Major	FirstPhoneAge	Provider	Devices	WeeklyPhone	SocialMedia	Sleep	MobileMoney	Food	Study	Gym	StudySpace	Health	Writing	Math
8/26/2019 8:53:19	19	Male	Ghana	BA	13	Vodafone	3	0	4	10	No	20	14	No	Lab 221	1	Yes	No
8/26/2019 8:53:27	18	Male	Ghana	MIS	8	MTN	6	30	3.5	12	Yes	20	0	Yes	Students hangout	0	Yes	Yes
8/26/2019 8:55:54	20	Female	Ghana	MIS	10	MTN	2	20	2	6	Yes	20	5	Yes	Lab 221	3	Yes	No
8/26/2019 8:56:08	23	Male	Ghana	CS	15	MTN	2	10	4.5	6.5	Yes	35	5	Yes	Lab 221	5	Yes	Yes
8/26/2019 8:56:11	23	Male	Ghana	Engineering	5	MTN	2	45	3.5	8	Yes	22	11	No	Library Study Area	1	Yes	No
8/26/2019 8:56:54	18	Male	Ghana	Engineering	10	AirtelTigo	2	40	3	6	No	10	7	Yes	Any of the classrooms	2	Yes	No
8/26/2019 8:56:56	20	Male	Ghana	BA	18	MTN	2	10	5	6	Yes	26	10	No	Any of the classrooms	3	Yes	Yes
8/26/2019 8:58:05	20	Male	Ghana	BA	20	MTN	2	25	3.5	3.5	Yes	25	1	Yes	Any of the classrooms	2	Yes	Yes
8/26/2019 8:59:29	23	Male	Rwanda	BA	17	AirtelTigo	2	2	3	8	No	35	8	Yes	Fab Lab 	4	Yes	Yes
8/26/2019 9:01:01	22	Female	Uganda	CS	12	AirtelTigo	1	18	2.5	6	No	19.6	5	No	Under the stairs at the administration block	5	Yes	Yes
8/26/2019 9:01:20	19	Female	Ghana	BA	13	AirtelTigo	2	10	2	6	No	20	16	No	Any of the classrooms	1	Yes	No
8/26/2019 9:02:55	20	Female	South Sudan	BA	15	MTN	2	20	15	8	No	35	8	Yes	Any of the classrooms	4	No	Yes
8/26/2019 9:03:14	18	Female	Ghana	MIS	10	Vodafone	2	10	6	5	Yes	20	9	No	Hive	1	Yes	No
8/26/2019 9:04:28	19	Female	Ghana	BA	13	MTN	2	20	3.5	10	Yes	25	7.5	No	Library Study Area	2	Yes	Yes
8/26/2019 9:04:41	18	Female	Ghana	MIS	12	MTN	2	10	6	7	Yes	12	3	No	Room	1	Yes	Yes
8/26/2019 9:11:49	22	Female	Ghana	MIS	19	MTN	2	40	3.5	3.5	Yes	34	7	No	Any of the classrooms	1	Yes	Yes
8/26/2019 9:21:38	18	Male	Ghana	MIS	15	MTN	2	0	5	7	No	10	4	Yes	Library Study Area	0	Yes	Yes
8/26/2019 9:23:31	20	Male	USA	BA	11	MTN	2	0	0.5	7	No	15.5	3	No	Any of the classrooms	3	No	No
8/26/2019 9:23:42	19	Male	Ghana	CS	11	Vodafone	3	30	5	6	Yes	10	15	Yes	Library Study Area	5	Yes	Yes
8/26/2019 9:27:39	18	Male	Ghana	CS	12	Vodafone	2	40	5	5	No	23	7	Yes	Any of the classrooms	0	Yes	Yes
8/26/2019 9:29:20	18	Male	Ghana	MIS	13	MTN	2	20	4.5	5	Yes	18	10	No	Any of the classrooms	0	Yes	Yes
8/26/2019 9:31:15	18	Male	Ghana	CS	15	MTN	2	20	4	8	Yes	5	7	No	Any of the classrooms	3	Yes	Yes
8/26/2019 9:33:06	19	Male	Ghana	CS	15	MTN	2	30	5	7	No	53	6	No	Under the stairs at the administration block	3	Yes	Yes
8/26/2019 9:37:13	19	Female	Ghana	MIS	13	AirtelTigo	2	20	5	7	No	25	13	Yes	Fab Lab	1	Yes	Yes
8/26/2019 9:44:35	18	Male	Ghana	CS	15	MTN	2	20	6	7	No	30	4	No	Room	4	Yes	No
8/26/2019 9:44:36	22	Male	Ghana	BA	16	Vodafone	2	15	2	3.5	Yes	45	14	Yes	Any of the classrooms	5	Yes	Yes
8/26/2019 9:54:04	21	Female	Ghana	BA	16	MTN	2	15	4.2	6	Yes	34	12	No	Lab 221	3	Yes	Yes
8/26/2019 9:55:51	19	Male	Ghana	Engineering	8	MTN	2	0.5	1.5	7	Yes	25	5	Yes	Lobby	5	Yes	No
8/26/2019 10:01:24	16	Male	Nigeria	CS	12	MTN	3	8.85	5	7	No	25	15	No	D-Lab	2	Yes	No
8/26/2019 10:08:10	19	Male	Ghana	BA	18	Vodafone	2	10	3	8	Yes	26	5	No	Any of the classrooms	15	Yes	Yes
8/26/2019 10:11:49	19	Female	Ghana	BA	13	Vodafone	2	20	2	10	Yes	35	2	No	Any of the classrooms	2	Yes	Yes
8/26/2019 10:16:58	20	Male	Ghana	Engineering	9	MTN	2	20	4.5	6	No	7.5	42	No	Any of the classrooms	1	Yes	Yes
8/26/2019 10:24:13	19	Male	Ghana	BA	13	Vodafone	2	50	5	6	Yes	10	18	Yes	Library Study Area	0	Yes	Yes
8/26/2019 10:26:42	17	Male	Ghana	BA	13	MTN	2	20	17	7	Yes	50	25	Yes	Library Study Area	1	Yes	Yes
8/26/2019 10:27:33	19	Male	Ghana	CS	16	MTN	3	10	3	8	No	22	10	No	Any of the classrooms	4	Yes	Yes
8/26/2019 10:27:37	20	Male	Ghana	CS	6	Vodafone	4	20	2	6	No	10	40	No	Any of the classrooms	4	Yes	No
8/26/2019 10:29:37	19	Male	Ghana	CS	12	MTN	2	20	2	6.5	No	30	4	No	Library Study Area	2	Yes	No
8/26/2019 10:30:41	19	Male	Ghana	BA	13	MTN	2	60	6	6	Yes	45	3	Yes	Any of the classrooms	6	Yes	No
8/26/2019 10:37:13	19	Female	Ghana	BA	11	MTN	3	25	3	6	Yes	16.5	10	No	D-Lab	3	Yes	Yes
8/26/2019 10:37:15	19	Female	Ghana	BA	15	AirtelTigo	2	10	3.5	7	No	10.5	12	No	Room	3	Yes	Yes
8/26/2019 10:37:48	18	Female	Nigeria	CS	13	AirtelTigo	2	8	3	6	Yes	20	10	No	Library Study Area	5	Yes	Yes
8/26/2019 10:47:55	19	Female	Ghana	MIS	13	AirtelTigo	2	8	6.4	4.8	No	3	13	No	Any of the classrooms	4	Yes	Yes
8/26/2019 11:12:55	23	Male	Ghana	BA	19	MTN	2	10	4	6	Yes	20	50	No	Lab 221	7	Yes	Yes
8/26/2019 11:13:36	21	Male	Ghana	CS	15	MTN	2	30	5	6	Yes	25	1	No	Any of the classrooms	1	Yes	No
8/26/2019 11:17:18	19	Female	Ghana	BA	9	Vodafone	2	15	5	8	Yes	20	2.5	No	Green Lounge	5	Yes	No
8/26/2019 11:18:22	19	Male	Ghana	MIS	9	MTN	3	30	4	5	No	10	4	Yes	Any of the classrooms	2	Yes	Yes
8/26/2019 11:26:12	17	Female	Ghana	MIS	10	Vodafone	2	0	2.5	8	No	25	2	Yes	Any of the classrooms	1	Yes	Yes
8/26/2019 11:32:44	19	Female	Ghana	BA	11	MTN	3	25	3	6	Yes	16.5	10	No	D-Lab	3	Yes	Yes
8/26/2019 12:11:07	18	Female	Ghana	MIS	11	MTN	2	15	4.5	6.5	Yes	40	15	No	Library Study Area	1	Yes	No
8/26/2019 12:15:07	19	Male	Ghana	BA	12	MTN	4	50	3.5	7	No	30	5	No	Room	3	Yes	Yes
8/26/2019 12:32:40	19	Male	Ghana	Engineering	11	MTN	2	20	1.5	7	Yes	10	5	No	Hive	1	Yes	No
8/26/2019 12:33:32	20	Male	Ghana	CS	16	Vodafone	2	2	2.25	6.45	Yes	12	7.5	No	Room	8	Yes	No
8/26/2019 12:34:52	20	Male	Ghana	CS	16	MTN	2	5	4	5	Yes	10	6.5	Yes	Students hangout	0	Yes	No
8/26/2019 13:00:21	20	Female	Ghana	CS	11	Vodafone	2	50	5	7	Yes	12	38	Yes	Any of the classrooms	5	Yes	Yes
8/26/2019 13:15:15	20	Male	Ghana	CS	16	Vodafone	2	2	2.25	6.45	Yes	12	7.5	No	Room	8	Yes	No
8/26/2019 13:19:37	21	Male	Ghana	BA	20	MTN	2	5	3	6	Yes	35	20	No	Under the stairs at the administration block	2	Yes	Yes
8/26/2019 13:29:02	21	Male	Cameroon	CS	17	AirtelTigo	2	10	3	5	No	28	10	No	Any of the classrooms	6	Yes	No
8/26/2019 13:35:38	19	Male	Ghana	CS	10	AirtelTigo	2	10	4	5.5	No	0	10	No	Library Study Area	0	Yes	Yes
8/26/2019 13:43:19	19	Female	Ghana	MIS	12	AirtelTigo	4	50	6	6	Yes	0	2	Yes	Any of the classrooms	1	Yes	Yes
8/26/2019 13:45:03	20	Male	Ghana	CS	11	MTN	4	10	5	7	Yes	20	4	No	Any of the classrooms	4	Yes	Yes
8/26/2019 13:59:39	19	Female	Ghana	BA	15	Vodafone	2	5	3.5	3.5	No	14	10	No	Library Study Area	4	Yes	Yes
8/26/2019 14:00:11	20	Female	Ghana	BA	18	MTN	2	10	7	4	No	9	30	No	Room	2	Yes	Yes
8/26/2019 14:01:08	19	Male	USA	CS	14	MTN	2	20	4	5	Yes	20	5	Yes	Library Study Area	3	No	No
8/26/2019 14:19:24	18	Male	Ghana	CS	15	MTN	2	50	5	5	Yes	0	9	Yes	Hakuna Matata	2	Yes	No
8/26/2019 14:48:38	19	Female	Ghana	BA	12	MTN	2	20	5	7.5	No	0	12	Yes	Any of the classrooms	0	Yes	Yes
8/26/2019 14:51:22	18	Female	Ghana	BA	15	Vodafone	2	30	10.5	6.5	No	28	15	No	Under the stairs at the administration block	0	Yes	Yes
8/26/2019 14:52:43	19	Female	Ghana	MIS	14	MTN	3	10	3.5	8	Yes	9	60	No	Any of the classrooms	2	Yes	Yes
8/26/2019 15:07:09	19	Male	Ghana	BA	12	AirtelTigo	2	25	6	6.5	Yes	10	1.5	No	Students hangout	1	Yes	Yes
8/26/2019 15:07:33	19	Female	Ghana	BA	11	MTN	2	8	5	6	Yes	11.5	4	No	Lab 221	3	Yes	Yes
8/26/2019 15:13:16	20	Male	Zimbabwe	Engineering	13	MTN	2	15	3	5	Yes	35	6	No	Any of the classrooms	6	Yes	Yes
8/26/2019 15:16:32	18	Female	Ghana	MIS	12	AirtelTigo	3	10	2	4	No	12	2	Yes	Any of the classrooms	2	Yes	Yes
8/26/2019 15:16:44	18	Male	Ghana	MIS	16	AirtelTigo	3	20	4	7	Yes	6	18	No	Students hangout	0	Yes	No
8/26/2019 15:27:09	20	Female	Ghana	BA	16	MTN	2	10	1.2	5.5	No	7	10	No	Any of the classrooms	2	Yes	Yes
8/26/2019 15:30:06	19	Male	Ghana	CS	6	Vodafone	4	0	4	6	No	20	8	No	D-Lab	0	Yes	Yes
8/26/2019 15:48:02	21	Male	Ghana	MIS	18	MTN	1	6	2.5	6	No	27	6	No	Room	2	Yes	No
8/26/2019 15:56:03	18	Female	Ghana	CS	16	MTN	2	50	4	7	Yes	7.5	15	No	Room	0	Yes	Yes
8/26/2019 16:01:13	19	Male	Ghana	CS	11	MTN	3	20	5	6.5	Yes	0	4	No	Any of the classrooms	0	Yes	No
8/26/2019 16:04:51	20	Male	Ghana	BA	15	Vodafone	2	25	12	7.5	No	20	3	No	Any of the classrooms	2	Yes	No
8/26/2019 16:08:43	19	Female	Ghana	MIS	13	MTN	2	14	5	6	Yes	12	8.5	Yes	Library Study Area	3	Yes	Yes
8/26/2019 16:21:33	20	Male	Ghana	BA	14	MTN	2	50	6	6	Yes	20	4	Yes	Library Study Area	3	Yes	Yes
8/26/2019 16:22:10	18	Female	Ghana	BA	13	Vodafone	2	2	5	6	Yes	10	3	Yes	Any of the classrooms	1	Yes	Yes
8/26/2019 16:24:32	19	Female	Ghana	BA	11	AirtelTigo	2	0	5	6	No	9.7	16	No	Room	3	Yes	Yes
8/26/2019 16:26:17	18	Female	Ghana	BA	12	MTN	2	40	3.5	6	Yes	17	15	No	Any of the classrooms	4	Yes	No
